X,Y,Z
1,-3,0.004
1,-6,0.004
1,-10,0.005
1,-13,0.018
1,-16,0.027
1,-20,0.032
1,-23,0.039
1,-26,0.048
1,-30,0.05
1,-33,0.059
1,-36,0.064
1,-40,0.069
1,-43,0.068
1,-46,0.085
1,-50,0.079
1,-53,0.09
1,-56,0.221
1,-60,0.257
1,-63,0.289
1,-66,0.298
1,-70,0.292
1,-73,0.269
1,-76,0.317
1,-80,0.21
1,-83,0
1,-86,0
1,-90,0
1,-93,0
1,-96,0
1,-100,0
2,-3,0
2,-6,0.004
2,-10,0
2,-13,0.02
2,-16,0.027
2,-20,0.031
2,-23,0.04
2,-26,0.046
2,-30,0.053
2,-33,0.056
2,-36,0.063
2,-40,0.069
2,-43,0.063
2,-46,0.075
2,-50,0.076
2,-53,0.086
2,-56,0.082
2,-60,0.108
2,-63,0.078
2,-66,0.167
2,-70,0.132
2,-73,0.162
2,-76,0.185
2,-80,0.203
2,-83,0.216
2,-86,0.257
2,-90,0.239
2,-93,0.223
2,-96,0.221
2,-100,0.175
3,-3,0.004
3,-6,0
3,-10,0
3,-13,0.023
3,-16,0.031
3,-20,0.034
3,-23,0.046
3,-26,0.049
3,-30,0.058
3,-33,0.056
3,-36,0.066
3,-40,0.076
3,-43,0.07
3,-46,0.082
3,-50,0.091
3,-53,0.084
3,-56,0.091
3,-60,0.108
3,-63,0.113
3,-66,0.116
3,-70,0.194
3,-73,0.191
3,-76,0.182
3,-80,0.219
3,-83,0.237
3,-86,0.294
3,-90,0.292
3,-93,0.226
3,-96,0.264
3,-100,0.239
4,-3,0.004
4,-6,0.003
4,-10,0.018
4,-13,0.021
4,-16,0.026
4,-20,0.029
4,-23,0.008
4,-26,0.046
4,-30,0.05
4,-33,0.05
4,-36,0.059
4,-40,0.061
4,-43,0
4,-46,0.068
4,-50,0.009
4,-53,0.085
4,-56,0.067
4,-60,0.09
4,-63,0.121
4,-66,0.124
4,-70,0.136
4,-73,0.162
4,-76,0.173
4,-80,1.709
4,-83,0.226
4,-86,0.242
4,-90,0.64
4,-93,8.225
4,-96,0.41
4,-100,0.205
5,-3,0
5,-6,0.005
5,-10,0.006
5,-13,0.018
5,-16,0.023
5,-20,0.026
5,-23,0.031
5,-26,0.038
5,-30,0.041
5,-33,0.041
5,-36,0.051
5,-40,0.052
5,-43,0.057
5,-46,0.06
5,-50,0.069
5,-53,0.074
5,-56,0.083
5,-60,0.074
5,-63,0.104
5,-66,0.113
5,-70,0.146
5,-73,0.149
5,-76,0.177
5,-80,0.2
5,-83,0.214
5,-86,0.246
5,-90,0.239
5,-93,0.246
5,-96,0.196
5,-100,0.205
6,-3,0
6,-6,0.004
6,-10,0.004
6,-13,0.004
6,-16,0.017
6,-20,0.021
6,-23,0.025
6,-26,0.035
6,-30,0.036
6,-33,0.04
6,-36,0.044
6,-40,0.031
6,-43,0.025
6,-46,0.039
6,-50,0
6,-53,4.466
6,-56,0.03
6,-60,0.062
6,-63,0.053
6,-66,0.097
6,-70,0.684
6,-73,0.109
6,-76,0.151
6,-80,0.178
6,-83,0.178
6,-86,0.196
6,-90,0.21
6,-93,0.18
6,-96,0.189
6,-100,0.237
7,-3,0
7,-6,0
7,-10,0.004
7,-13,0.004
7,-16,0.007
7,-20,0.008
7,-23,0.02
7,-26,0.026
7,-30,0.03
7,-33,0.032
7,-36,0.036
7,-40,0.04
7,-43,0.036
7,-46,0.044
7,-50,0.053
7,-53,0.052
7,-56,0.059
7,-60,0.071
7,-63,0.082
7,-66,0.117
7,-70,0.119
7,-73,0.124
7,-76,0.162
7,-80,0.178
7,-83,0.194
7,-86,0.2
7,-90,0.21
7,-93,0.251
7,-96,0.181
7,-100,0.223
8,-3,0
8,-6,0.003
8,-10,0.005
8,-13,0.004
8,-16,0.018
8,-20,0.021
8,-23,0.028
8,-26,0.035
8,-30,0.033
8,-33,0.041
8,-36,0.05
8,-40,0.049
8,-43,0.05
8,-46,0.056
8,-50,0.058
8,-53,0.073
8,-56,0.065
8,-60,0.029
8,-63,0.094
8,-66,0.134
8,-70,0.141
8,-73,0.143
8,-76,0.175
8,-80,0.187
8,-83,0.207
8,-86,0.228
8,-90,0.228
8,-93,0.23
8,-96,0.219
8,-100,0.175
9,-3,0
9,-6,0.004
9,-10,0.006
9,-13,0.008
9,-16,0.022
9,-20,0.025
9,-23,0.035
9,-26,0.041
9,-30,0.051
9,-33,0.052
9,-36,0.055
9,-40,0.057
9,-43,0.068
9,-46,0.07
9,-50,0.083
9,-53,0.083
9,-56,0.1
9,-60,0.097
9,-63,0.128
9,-66,0.145
9,-70,0.175
9,-73,0.194
9,-76,0.212
9,-80,0.223
9,-83,0.235
9,-86,0.26
9,-90,0.278
9,-93,0.285
9,-96,0.319
9,-100,0.346
10,-3,0
10,-6,0.003
10,-10,0.004
10,-13,0.018
10,-16,0.023
10,-20,0.032
10,-23,0.044
10,-26,0.054
10,-30,0.056
10,-33,0.066
10,-36,0.07
10,-40,0.084
10,-43,0.082
10,-46,0.087
10,-50,0.09
10,-53,0.098
10,-56,0.131
10,-60,0.115
10,-63,0.144
10,-66,0.15
10,-70,0.196
10,-73,0.187
10,-76,0.18
10,-80,0.212
10,-83,0.189
10,-86,0.239
10,-90,0.319
10,-93,0.442
10,-96,0.529
10,-100,0.474
